06-16-2007,21:33:23,HELP 
06-16-2007,21:33:26,S 
06-16-2007,21:33:26,E 
06-16-2007,21:33:27,W 
06-16-2007,21:33:30,N 
06-16-2007,21:33:31,N 
06-16-2007,21:33:32,S 
06-16-2007,21:33:34,E 
06-16-2007,21:33:41,GET all
06-16-2007,21:33:44,I 
06-16-2007,21:33:46,SC 
06-16-2007,21:33:54,WHO 
06-17-2007,13:18:36,SC 
06-17-2007,13:18:43,HELP 
06-17-2007,13:18:47,COMMANDS 
06-17-2007,13:18:50,HELP commands
06-17-2007,13:18:54,HELP admin
06-17-2007,13:19:03,E 
06-17-2007,13:19:06,EAST 
06-17-2007,13:19:08,N 
06-17-2007,13:22:46,TP steam
06-17-2007,13:22:49,TP 
06-17-2007,13:26:30,SC 
06-17-2007,13:26:39,QUIT 
06-17-2007,13:26:55,SC 
06-17-2007,13:27:36,SC 
06-17-2007,13:31:45,SC 
06-17-2007,13:31:58,SC 
06-28-2007,21:00:05,SC 
06-28-2007,21:00:12,L 
06-28-2007,21:00:15,WHO 
04-26-2015,17:07:42,L 
04-26-2015,17:07:46,N 
04-26-2015,17:07:47,N 
04-26-2015,17:07:48,S 
04-26-2015,17:07:48,S 
04-26-2015,17:07:50,S 
04-26-2015,17:09:36,K m
04-26-2015,17:09:38,S 
04-26-2015,17:09:39,N 
04-26-2015,17:09:41,S 
04-26-2015,17:09:48,KILL monk
04-26-2015,17:09:53,SC 
04-26-2015,17:09:58,HELP 
04-26-2015,17:10:15,WHO steam
04-26-2015,17:10:19,WHO 
04-26-2015,17:10:28,COMMANDS 
04-26-2015,17:10:30,HELP 
04-26-2015,17:10:36,HELP combat
04-26-2015,17:10:41,L 
04-26-2015,17:10:44,K m
04-26-2015,17:10:47,K monk
04-26-2015,17:10:51,KILL monk
04-26-2015,17:10:57,HELP commands
04-26-2015,17:11:02,HELP admin
04-26-2015,17:11:13,ADMIN reset
